#miRNA	di1	di2	di3	dt1	dt2	dt3	mi1	mi2	mi3	mt1	mt2	mt3	wi1	wi2	wt1	wt2	ic1	tc1	tw1	tp1	tw2	tp2	tw3	tp3	ew1	ep1	ew2	ep2	ew3	ep3
mmu-miR-208b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-208b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-20a-5p	15	27	19	19	35	11	6	2	1	5	11	4	7	24	10	21	12	8	70	18	17	33	19	109	69	187	35	210	43	92
mmu-miR-20a-3p	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	1	1	64	9	1	18	9	58	34	70	13	62	18	25
mmu-miR-20b-5p	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	276	1251	235	1163	259	619
mmu-miR-20b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	1	10	2	6
mmu-miR-210-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	1	0	0	1	0	1	1	2
mmu-miR-210-3p	3	2	2	2	2	3	0	0	0	0	0	0	0	0	0	0	2	1	176	40	63	41	48	15	1	6	1	12	2	6
mmu-miR-211-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	4
mmu-miR-211-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-212-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-212-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-2136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-2137	26	23	16	4	12	1	21	36	10	4	3	3	5	86	3	61	14	44	4474	344	1291	526	1400	425	205	508	138	809	161	880
mmu-miR-2139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-214-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
mmu-miR-214-3p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	7	0	0	1	2	0	0	0	0	0	0	0
mmu-miR-215-5p	25	2	8	6	15	21	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-215-3p	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-216a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-216a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-216b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-216b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-216c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-216c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-217-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-217-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-218-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-218-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-2183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-219a-1-3p	1	2	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-219a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-219b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mmu-miR-219b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-219c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-219c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-21a-5p	204	55	75	52	270	65	27	6	127	15	20	29	4	19	47	32	53	19	489	180	56	389	78	1345	44	115	30	99	51	28
mmu-miR-21a-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	9	0	8	2	2	0	3	0	0	0	0
mmu-miR-21b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-21c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-22-5p	1	0	0	2	1	2	0	0	4	0	0	0	0	0	1	0	2	0	48	13	9	24	6	80	1	6	0	1	1	3
mmu-miR-22-3p	29	26	18	15	23	27	4	2	26	14	13	16	4	8	9	10	24	18	1109	236	149	390	235	1706	22	104	14	76	15	44
mmu-miR-221-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-221-3p	4	2	0	2	5	1	6	0	24	1	2	7	0	1	5	2	3	1	4	0	0	0	3	0	5	5	1	1	0	2
mmu-miR-222-5p	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
mmu-miR-222-3p	7	0	0	0	9	1	0	1	19	0	0	2	0	2	2	2	4	0	2	1	0	3	0	2	1	5	1	1	1	1
mmu-miR-223-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-223-3p	2	0	0	1	0	0	0	1	0	0	3	4	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-224-5p	6	3	20	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	3	0	0
mmu-miR-224-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-23a-5p	5	0	3	0	11	1	0	0	1	0	0	0	0	0	0	0	0	0	8	2	2	4	2	10	2	3	0	0	0	1
mmu-miR-23a-3p	26	10	29	34	49	33	10	3	33	9	10	13	2	1	2	4	8	0	1280	269	169	309	243	984	36	134	20	89	17	75
mmu-miR-23b-5p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	2	0	0	0	0
mmu-miR-23b-3p	10	9	31	14	30	32	2	0	13	9	9	2	3	9	15	9	10	4	126	23	11	37	17	96	54	173	21	150	31	127
mmu-miR-24-1-5p	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4	1	0	1	1	4	1	2	0	1	1	1
mmu-miR-24-2-5p	1	0	2	7	12	0	1	0	0	0	0	0	0	0	2	0	0	0	141	25	22	16	17	59	2	6	0	1	1	0
mmu-miR-25-5p	0	1	0	2	4	0	0	3	0	0	0	1	1	1	0	0	0	4	1	0	0	0	0	0	3	4	1	4	0	2
mmu-miR-25-3p	37	20	18	15	38	30	9	7	11	7	7	4	4	9	3	6	20	22	382	109	53	123	25	398	241	1925	140	1312	187	701
mmu-miR-26a-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-26a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	5	1	9	1	4	0	4	0	2
mmu-miR-26b-5p	243	129	149	120	249	124	62	34	105	93	47	49	21	36	40	47	63	26	26	3	4	10	10	50	1	31	0	34	2	18
mmu-miR-26b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	5	1	3	0	1	0	1
mmu-miR-27a-5p	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	0	10	1	4	3	0	8	1	2	0	0	0	0
mmu-miR-27a-3p	1	2	0	3	7	7	0	0	9	1	0	1	0	0	0	0	0	0	338	89	72	109	75	520	7	97	17	87	18	30
mmu-miR-27b-5p	3	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	1	1	0	5	0	4	0	4
mmu-miR-27b-3p	12	9	3	3	21	6	1	3	15	0	3	1	0	1	2	5	5	5	29	9	6	15	10	40	11	123	13	71	24	45
mmu-miR-2861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-28a-5p	37	13	15	11	21	23	0	4	5	1	7	1	0	4	4	7	5	7	39	12	5	20	7	65	8	14	5	13	9	11
mmu-miR-28a-3p	36	17	16	13	37	20	0	0	0	4	3	1	2	1	5	5	15	4	26	13	7	14	2	45	2	13	5	11	2	5
mmu-miR-28b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-28c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-290a-5p	279	121	111	124	210	146	14	37	21	19	26	11	33	104	110	114	187	61	13435	3179	2122	4113	1876	7126	2371	8171	1576	6641	1482	3348
mmu-miR-290a-3p	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	2	30	8	7	8	6	13	21	56	19	43	13	20
mmu-miR-290b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-290b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-291a-5p	186	114	119	173	231	190	24	18	8	54	43	20	24	90	125	124	229	73	6270	1504	926	1781	718	5905	1969	9558	1008	5970	735	3616
mmu-miR-291a-3p	51	14	41	45	77	51	3	7	7	8	11	15	10	22	21	21	21	6	12195	1856	1309	2560	1735	4367	1494	4346	1125	4680	1762	2402
mmu-miR-291b-5p	38	26	27	10	42	25	0	7	2	3	3	6	9	11	16	19	33	12	1244	278	188	258	96	960	25	50	18	73	24	52
mmu-miR-291b-3p	30	19	22	29	39	13	3	3	0	2	3	6	4	9	11	14	14	17	1900	533	354	382	313	132	9	5	5	11	13	1
mmu-miR-292a-5p	2729	1859	1346	2922	4022	3170	545	349	328	791	565	570	425	1211	1498	1942	1410	657	4812	1505	962	1762	803	2844	1560	5757	817	4864	958	2921
mmu-miR-292a-3p	645	401	320	693	834	771	140	95	143	191	162	175	89	299	321	369	404	152	1047	427	222	526	284	974	441	1779	278	1704	354	1234
mmu-miR-292b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-292b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-293-5p	150	78	83	164	293	174	29	22	19	55	38	51	22	85	117	116	93	31	2621	443	289	632	346	2020	595	3666	509	2950	526	1356
mmu-miR-293-3p	699	539	457	614	1101	743	142	92	141	218	158	150	92	323	346	441	504	280	4679	1256	617	1586	873	1792	1262	2447	986	2490	1501	1224
mmu-miR-294-5p	52	26	19	67	48	46	6	10	5	9	4	17	2	18	29	36	61	26	902	201	145	309	144	684	308	1138	174	896	156	545
mmu-miR-294-3p	1314	955	766	1360	2701	1630	290	263	257	445	385	344	154	469	577	866	832	345	7304	1461	1025	1855	1155	4768	1176	6743	925	5968	1292	3436
mmu-miR-295-5p	62	33	21	37	49	54	8	6	16	9	8	6	3	15	38	36	31	8	724	141	101	192	109	635	225	929	116	747	117	329
mmu-miR-295-3p	230	114	104	185	307	210	55	46	29	61	48	52	16	77	72	101	116	73	6615	1195	834	1761	1241	2844	995	3395	899	3187	1165	1431
mmu-miR-296-5p	25	17	11	13	7	5	3	3	8	8	5	1	4	5	14	0	12	16	50	30	22	37	23	80	8	75	1	66	5	36
mmu-miR-296-3p	23	15	12	13	8	9	2	3	0	5	0	0	7	16	17	6	28	24	77	36	17	38	15	26	4	38	5	23	8	14
mmu-miR-297b-5p	3	1	3	0	2	1	0	0	0	0	0	1	0	1	3	1	4	2	45	4	2	7	7	11	5	0	1	0	3	0
mmu-miR-297b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-297c-5p	1	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	2	1	134	100	56	43	29	13	0	0	3	0	3	0
mmu-miR-297c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-298-5p	33	8	35	9	23	18	1	0	0	4	1	0	2	10	16	12	40	23	329	152	71	134	68	167	21	47	20	23	15	18
mmu-miR-298-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	1	2	0	0	0	0	0	0
mmu-miR-299a-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	3	18	78	8	67	5	27
mmu-miR-299a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	8	2	5	4	2
mmu-miR-299b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-299b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-29a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	4	0	3	0	1	0	1	0	0
mmu-miR-29a-3p	4	4	0	11	22	2	18	13	15	8	11	14	0	2	0	4	0	0	436	89	65	132	57	540	2	45	6	47	4	26
mmu-miR-29b-1-5p	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
mmu-miR-29b-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-29c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	1	4	0	0	0	0	0	0
mmu-miR-29c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	17	9	21	11	93	4	15	2	12	1	7
mmu-miR-300-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	1	5	1	3
mmu-miR-300-3p	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	40	3	5	2	8	5	39	184	33	99	43	45
mmu-miR-301a-5p	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	12	2	3	2	3	10	0	0	1	0	0	0
mmu-miR-301a-3p	17	1	3	1	1	2	0	0	0	0	0	0	0	3	0	5	0	6	2819	663	399	895	383	1443	100	124	106	96	100	56
mmu-miR-301b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	2	0	0	0
mmu-miR-301b-3p	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	111	27	16	43	15	66	19	46	20	16	22	18
mmu-miR-302a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	4	0	9	0
mmu-miR-302a-3p	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	6	0	8	0
mmu-miR-302b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0
mmu-miR-302b-3p	4	1	4	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	2	0	0	0	0	0	11	3	17	0	16	0
mmu-miR-302c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-302c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	0	6	0
mmu-miR-302d-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	0	6	0
mmu-miR-302d-3p	1	1	2	0	0	0	0	0	0	0	0	0	2	6	0	0	0	1	2	0	0	0	0	0	9	0	13	1	18	2
mmu-miR-3057-5p	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3057-3p	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-3058-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3058-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3059-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3059-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3060-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3060-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0
mmu-miR-3061-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3061-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3062-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
mmu-miR-3062-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3063-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3063-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3064-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
mmu-miR-3064-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3065-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mmu-miR-3065-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3066-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3066-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3067-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3067-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3068-5p	2	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-3068-3p	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	8	8	9	5	1	6	0	9	1	11	0	7
mmu-miR-3069-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3069-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-3070-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mmu-miR-3070-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3071-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3071-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3072-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-3072-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2
mmu-miR-3073a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3073a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3073b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3073b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3074-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-3074-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3075-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3075-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3076-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3076-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3077-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3077-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3078-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3078-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3079-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3079-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-miR-3080-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3080-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-3081-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3081-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3082-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3082-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3083-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3083-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
mmu-miR-3083b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3083b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3085-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3085-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-3086-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3086-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3087-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3087-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mmu-miR-3088-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3088-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3089-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3089-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
